iter	Passed	Remaining
0	60	60433
1	60	30406
2	61	20383
3	61	15387
4	62	12370
5	62	10373
6	63	8942
7	63	7879
8	64	7056
9	64	6388
10	65	5852
11	65	5388
12	65	4999
13	66	4661
14	66	4365
15	66	4113
16	67	3887
17	67	3698
18	68	3523
19	68	3363
20	69	3228
21	69	3096
22	70	2980
23	70	2872
24	71	2781
25	72	2715
26	73	2632
27	73	2553
28	74	2478
29	74	2413
30	75	2356
31	75	2295
32	76	2235
33	76	2181
34	77	2127
35	77	2077
36	78	2031
37	78	1989
38	78	1946
39	79	1909
40	80	1872
41	80	1838
42	80	1801
43	81	1768
44	81	1734
45	82	1706
46	82	1676
47	83	1649
48	83	1622
49	84	1598
50	84	1574
51	85	1553
52	85	1529
53	86	1507
54	86	1484
55	87	1467
56	87	1448
57	88	1430
58	88	1409
59	88	1390
60	89	1374
61	89	1355
62	90	1338
63	90	1321
64	90	1303
65	90	1286
66	91	1271
67	91	1259
68	92	1244
69	92	1231
70	93	1221
71	93	1211
72	94	1201
73	95	1190
74	95	1181
75	96	1168
76	96	1159
77	97	1150
78	97	1141
79	98	1131
80	98	1121
81	99	1111
82	99	1099
83	99	1089
84	100	1078
85	100	1069
86	101	1062
87	101	1052
88	102	1044
89	102	1035
90	102	1027
91	103	1018
92	103	1010
93	103	1002
94	104	996
95	105	989
96	105	981
97	105	973
98	106	967
99	106	960
100	107	953
101	107	946
102	107	940
103	108	934
104	109	930
105	109	924
106	109	917
107	110	912
108	111	907
109	111	903
110	111	896
111	112	892
112	113	888
113	113	883
114	114	878
115	114	872
116	114	867
117	115	862
118	115	856
119	116	851
120	116	846
121	116	841
122	117	837
123	118	833
124	118	830
125	119	826
126	119	820
127	119	816
128	120	813
129	121	810
130	121	806
131	122	803
132	122	798
133	122	794
134	123	790
135	124	788
136	124	783
137	124	779
138	125	775
139	125	772
140	126	770
141	126	766
142	127	762
143	127	758
144	128	755
145	128	752
146	129	748
147	129	744
148	129	741
149	130	737
150	130	735
151	131	731
152	131	728
153	132	725
154	132	722
155	133	723
156	134	720
157	134	717
158	135	714
159	135	711
160	135	708
161	136	705
162	136	702
163	137	699
164	137	697
165	138	695
166	138	692
167	139	689
168	139	686
169	140	684
170	140	681
171	141	679
172	141	678
173	142	675
174	142	672
175	143	669
176	143	666
177	143	663
178	143	660
179	144	658
180	144	655
181	145	653
182	146	651
183	146	649
184	146	647
185	147	645
186	147	642
187	148	640
188	149	640
189	149	638
190	150	636
191	150	634
192	151	632
193	151	630
194	152	627
195	152	625
196	152	622
197	153	620
198	153	618
199	154	616
200	154	614
201	154	612
202	155	609
203	155	608
204	156	606
205	156	604
206	157	602
207	157	600
208	158	598
209	158	596
210	158	594
211	159	592
212	159	590
213	160	588
214	160	586
215	161	584
216	161	582
217	161	580
218	162	578
219	162	576
220	163	574
221	163	573
222	163	571
223	164	569
224	164	567
225	165	566
226	165	564
227	166	562
228	166	561
229	167	559
230	167	557
231	167	555
232	168	553
233	168	552
234	169	550
235	169	549
236	170	547
237	170	546
238	171	545
239	171	543
240	171	541
241	172	539
242	172	538
243	173	536
244	173	535
245	174	533
246	174	531
247	174	530
248	175	529
249	175	527
250	176	525
251	176	523
252	177	522
253	177	521
254	177	519
255	178	518
256	178	516
257	179	515
258	179	514
259	180	513
260	180	511
261	181	510
262	181	508
263	181	507
264	182	505
265	182	504
