iter	Passed	Remaining
0	0	34
1	0	30
2	0	28
3	1	26
4	1	26
5	1	26
6	1	26
7	2	26
8	2	26
9	2	26
10	3	26
11	3	25
12	3	25
13	4	25
14	4	25
15	4	25
16	5	25
17	5	24
18	5	24
19	6	24
20	6	24
21	6	23
22	7	24
23	7	24
24	8	24
25	8	24
26	8	23
27	9	23
28	9	23
29	9	22
30	10	22
31	10	22
32	11	22
33	11	22
34	11	22
35	12	21
36	12	21
37	13	21
38	13	21
39	14	21
40	14	20
41	14	20
42	14	19
43	15	19
44	15	19
45	16	18
46	16	18
47	16	18
48	17	17
49	17	17
50	18	17
51	18	17
52	18	16
53	19	16
54	19	16
55	20	15
56	20	15
57	20	15
58	21	14
59	21	14
60	22	14
61	22	13
62	23	13
63	23	13
64	24	12
65	24	12
66	25	12
67	25	12
68	26	11
69	26	11
70	26	11
71	27	10
72	27	10
73	28	9
74	28	9
75	29	9
76	29	8
77	29	8
78	30	8
79	30	7
80	31	7
81	31	6
82	31	6
83	32	6
84	32	5
85	33	5
86	33	5
87	34	4
88	34	4
89	34	3
90	35	3
91	35	3
92	36	2
93	36	2
94	36	1
95	36	1
96	37	1
97	37	0
98	38	0
99	38	0
